"Day","Home","Visitor","Hscore","Vscore","Neutral","Diff"
2,1122,1102,67,66,1,1
2,1272,1443,69,75,1,-6
2,1452,1433,78,66,1,12
2,1388,1320,66,64,1,2
2,1355,1429,83,59,1,24
2,1102,1251,73,84,1,-11
2,1155,1345,81,70,1,11
2,1304,1305,66,69,0,-3
2,1348,1130,64,69,1,-5
2,1113,1437,74,83,1,-9
2,1261,1188,94,81,0,13
2,1228,1102,97,38,0,59
2,1406,1362,68,79,0,-11
2,1380,1102,78,85,0,-7
2,1125,1224,95,78,0,17
2,1317,1102,116,62,0,54
2,1140,1309,86,61,0,25
2,1299,1325,72,84,0,-12
3,1211,1120,90,67,0,23
3,1438,1362,60,61,0,-1
3,1462,1405,76,73,0,3
3,1441,1407,64,66,0,-2
3,1228,1325,77,75,0,2
3,1102,1102,60,50,0,10
3,1102,1179,53,69,0,-16
3,1206,1125,67,77,0,-10
3,1242,1386,94,72,0,22
3,1324,1133,60,74,0,-14
3,1417,1337,107,98,0,9
3,1222,1129,68,58,0,10
3,1365,1413,66,63,0,3
3,1257,1371,71,70,0,1
3,1389,1247,62,51,0,11
3,1138,1406,74,65,0,9
3,1361,1414,77,58,0,19
3,1266,1183,75,50,0,25
3,1422,1114,77,70,0,7
3,1435,1434,77,71,0,6
3,1256,1426,76,71,0,5
3,1210,1273,73,83,0,-10
3,1243,1160,58,76,0,-18
3,1287,1350,64,82,0,-18
3,1102,1292,57,43,1,14
3,1122,1101,72,80,1,-8
3,1452,1443,70,64,1,6
3,1320,1429,71,82,1,-11
3,1388,1355,72,59,1,13
3,1272,1433,59,70,1,-11
3,1267,1117,70,56,0,14
3,1241,1102,73,83,0,-10
3,1341,1191,64,61,0,3
3,1403,1358,84,52,0,32
3,1230,1349,53,68,0,-15
3,1408,1249,66,57,0,9
3,1149,1184,50,60,0,-10
3,1268,1298,82,52,0,30
3,1393,1136,85,84,0,1
3,1421,1423,68,76,0,-8
3,1102,1102,44,74,0,-30
3,1112,1212,74,55,0,19
3,1234,1380,103,76,0,27
3,1301,1316,86,51,0,35
3,1311,1226,70,51,0,19
3,1448,1255,71,60,0,11
3,1353,1102,96,75,0,21
3,1163,1216,69,57,0,12
3,1458,1115,92,58,0,34
3,1119,1148,79,57,0,22
4,1304,1295,79,57,0,22
4,1338,1180,83,74,0,9
4,1423,1407,73,50,0,23
4,1387,1261,85,81,0,4
4,1410,1427,81,64,0,17
4,1413,1226,70,61,0,9
4,1336,1440,86,65,0,21
4,1102,1169,66,61,0,5
4,1425,1285,76,62,0,14
4,1378,1348,68,84,0,-16
4,1282,1102,66,71,0,-5
4,1116,1317,69,54,0,15
4,1278,1258,88,73,0,15
4,1330,1102,86,78,0,8
4,1277,1323,80,70,0,10
4,1140,1430,82,60,0,22
4,1450,1102,71,68,0,3
4,1251,1376,78,62,1,16
4,1395,1409,70,65,1,5
4,1437,1439,73,81,0,-8
4,1124,1418,112,82,0,30
4,1227,1141,74,72,0,2
4,1101,1303,70,58,0,12
4,1132,1102,101,78,0,23
4,1202,1367,91,63,0,28
4,1239,1379,66,51,0,15
4,1181,1164,81,71,0,10
4,1229,1262,82,72,0,10
4,1224,1206,70,84,0,-14
4,1291,1298,67,73,0,-6
4,1412,1368,84,59,0,25
4,1384,1420,65,80,0,-15
4,1102,1402,63,75,0,-12
4,1138,1119,74,78,0,-4
4,1102,1426,71,80,0,-9
4,1421,1441,81,83,0,-2
4,1461,1102,97,61,0,36
4,1189,1219,76,75,0,1
4,1249,1252,73,76,0,-3
4,1365,1311,73,57,0,16
4,1347,1102,54,57,0,-3
4,1329,1411,85,65,0,20
5,1246,1350,64,76,0,-12
5,1124,1449,86,52,0,34
5,1353,1220,70,56,0,14
5,1166,1295,69,58,0,11
5,1370,1102,63,45,0,18
5,1375,1102,73,77,0,-4
5,1222,1403,64,53,0,11
5,1362,1348,71,84,0,-13
5,1276,1324,81,71,0,10
5,1378,1439,58,76,0,-18
5,1409,1376,58,69,1,-11
5,1395,1251,56,52,1,4
5,1287,1117,69,61,0,8
5,1235,1115,80,63,0,17
5,1408,1252,68,66,0,2
5,1256,1102,91,77,0,14
5,1358,1129,55,86,0,-31
5,1208,1102,85,75,0,10
5,1268,1291,79,61,0,18
5,1102,1309,82,53,0,29
5,1359,1102,76,78,0,-2
5,1113,1223,100,77,0,23
5,1326,1262,74,64,0,10
5,1274,1316,77,59,0,18
5,1257,1341,86,64,0,22
5,1241,1347,67,59,0,8
6,1172,1400,76,78,0,-2
6,1344,1231,58,79,0,-21
6,1182,1114,66,76,0,-10
6,1169,1370,76,65,0,11
6,1102,1132,76,78,0,-2
6,1130,1385,93,97,0,-4
6,1399,1151,54,62,0,-8
6,1416,1120,63,55,0,8
6,1462,1184,99,96,0,3
6,1273,1209,86,69,0,17
6,1424,1314,51,78,0,-27
6,1243,1282,62,58,0,4
6,1278,1258,67,64,0,3
6,1102,1402,68,51,0,17
6,1104,1390,64,82,0,-18
6,1305,1334,70,58,0,12
6,1371,1233,86,64,0,22
6,1220,1102,73,58,0,15
6,1374,1102,91,54,0,37
6,1261,1368,96,43,0,53
6,1143,1311,60,49,0,11
6,1461,1411,74,76,0,-2
7,1140,1425,53,79,0,-26
7,1345,1324,93,50,0,43
7,1166,1303,94,67,0,27
7,1458,1453,82,42,0,40
7,1257,1443,75,54,0,21
7,1405,1156,70,61,0,9
7,1227,1434,66,50,0,16
7,1266,1329,62,70,0,-8
7,1198,1141,96,76,0,20
7,1181,1277,69,75,0,-6
7,1304,1102,76,69,0,7
7,1242,1246,65,62,0,3
7,1231,1400,44,66,1,-22
7,1390,1314,63,67,1,-4
7,1344,1172,63,62,1,1
7,1104,1424,86,74,1,12
7,1173,1183,66,63,0,3
7,1449,1415,42,57,0,-15
7,1422,1457,67,75,0,-8
7,1438,1384,76,51,0,25
7,1306,1136,85,93,0,-8
7,1207,1298,71,78,0,-7
7,1149,1102,63,70,0,-7
7,1203,1214,78,82,0,-4
7,1388,1311,73,50,0,23
7,1437,1216,87,53,0,34
7,1389,1392,82,68,0,14
7,1440,1255,84,71,0,13
7,1213,1290,88,49,0,39
8,1422,1182,68,81,0,-13
8,1326,1287,77,44,0,33
8,1334,1286,74,70,0,4
8,1336,1433,72,69,0,3
8,1102,1188,53,73,0,-20
8,1462,1399,79,48,0,31
8,1455,1331,85,80,0,5
8,1348,1371,76,63,0,13
8,1211,1452,87,82,0,5
8,1276,1123,84,65,0,19
8,1235,1355,68,71,0,-3
8,1102,1102,73,66,0,7
8,1292,1293,78,61,0,17
8,1102,1102,79,87,0,-8
8,1346,1180,48,66,0,-18
8,1272,1117,83,54,0,29
8,1102,1191,93,87,0,6
8,1305,1362,60,85,0,-25
8,1281,1332,83,75,0,8
8,1116,1426,72,60,0,12
8,1450,1333,59,55,0,4
8,1124,1228,82,69,0,13
8,1390,1231,63,79,1,-16
8,1314,1400,67,69,1,-2
8,1104,1344,88,71,1,17
8,1424,1172,73,77,1,-4
8,1140,1385,74,68,0,6
8,1469,1315,74,73,0,1
8,1196,1119,76,69,0,7
8,1378,1195,76,57,0,19
8,1153,1252,67,55,0,12
8,1367,1184,78,95,0,-17
8,1155,1102,75,38,0,37
8,1193,1216,61,66,0,-5
8,1239,1342,78,65,0,13
8,1412,1244,73,48,0,25
8,1102,1330,66,80,0,-14
8,1410,1102,62,59,0,3
8,1309,1418,63,66,0,-3
8,1465,1368,80,81,0,-1
8,1199,1316,86,58,0,28
8,1374,1223,102,75,0,27
8,1461,1230,94,83,0,11
8,1321,1115,92,49,0,43
9,1183,1102,78,56,0,22
9,1428,1449,76,62,0,14
9,1297,1399,74,65,0,9
9,1460,1267,64,80,0,-16
9,1425,1163,58,61,0,-3
9,1393,1310,75,45,0,30
9,1256,1419,78,62,0,16
9,1439,1440,64,57,0,7
9,1234,1442,99,58,0,41
9,1417,1370,78,52,0,26
9,1179,1303,87,66,0,21
9,1328,1427,105,66,0,39
9,1170,1225,77,55,0,22
9,1381,1285,64,63,0,1
9,1130,1196,70,90,0,-20
9,1143,1113,62,70,0,-8
9,1180,1346,70,58,0,12
9,1114,1457,75,80,0,-5
9,1301,1262,90,59,0,31
9,1251,1384,78,62,0,16
9,1154,1102,78,70,0,8
9,1395,1102,74,68,0,6
9,1388,1411,82,70,0,12
10,1268,1389,90,57,0,33
10,1409,1426,79,64,0,15
10,1277,1178,83,76,0,7
10,1150,1209,65,76,0,-11
10,1438,1245,71,64,0,7
10,1185,1405,74,91,0,-17
10,1266,1458,67,65,0,2
10,1345,1434,68,61,0,7
10,1198,1102,74,70,0,4
10,1102,1317,69,63,0,6
10,1258,1253,85,61,0,24
10,1278,1315,76,67,0,9
10,1403,1407,80,46,0,34
10,1120,1375,90,81,0,9
10,1371,1332,70,83,0,-13
10,1133,1355,84,88,0,-4
10,1142,1362,60,88,0,-28
10,1392,1193,72,69,0,3
10,1465,1368,83,66,0,17
10,1166,1244,93,58,0,35
10,1216,1102,80,65,0,15
10,1208,1239,98,65,0,33
10,1181,1468,76,54,0,22
10,1372,1270,86,76,0,10
10,1274,1391,82,60,0,22
10,1272,1146,85,68,0,17
11,1321,1102,111,66,0,45
11,1112,1102,70,67,0,3
11,1170,1225,73,57,0,16
11,1123,1227,68,66,0,2
11,1381,1285,75,74,0,1
11,1173,1374,64,66,0,-2
11,1453,1183,91,93,0,-2
11,1188,1303,63,65,0,-2
11,1242,1295,65,61,0,4
11,1460,1275,71,47,0,24
11,1220,1233,74,82,0,-8
11,1125,1359,83,96,0,-13
11,1222,1376,77,67,0,10
11,1393,1351,87,52,0,35
11,1338,1102,89,59,0,30
11,1329,1324,84,71,0,13
11,1243,1424,58,68,0,-10
11,1429,1140,64,67,0,-3
11,1339,1340,86,73,0,13
11,1102,1202,57,81,0,-24
11,1293,1229,76,65,0,11
11,1187,1347,63,50,0,13
11,1219,1316,85,74,0,11
11,1421,1102,77,56,0,21
11,1433,1291,60,42,0,18
11,1127,1265,65,68,0,-3
11,1402,1230,72,64,0,8
11,1102,1249,59,44,0,15
11,1344,1102,79,67,0,12
11,1116,1252,86,50,0,36
11,1367,1204,69,72,0,-3
11,1101,1102,69,48,0,21
11,1223,1349,64,86,0,-22
11,1387,1115,107,54,0,53
11,1102,1164,85,69,0,16
12,1441,1399,76,75,0,1
12,1400,1437,64,68,0,-4
12,1455,1281,62,72,0,-10
12,1325,1156,101,46,0,55
12,1153,1462,69,77,0,-8
12,1412,1407,77,55,0,22
12,1176,1415,63,83,0,-20
12,1442,1141,73,79,0,-6
12,1395,1328,78,82,0,-4
12,1102,1410,81,68,0,13
12,1333,1461,73,76,0,-3
12,1276,1416,80,58,0,22
12,1207,1452,71,80,0,-9
12,1361,1337,65,60,0,5
12,1253,1370,80,75,0,5
12,1210,1246,79,62,0,17
12,1261,1256,86,55,0,31
12,1132,1138,86,78,0,8
12,1277,1444,79,61,0,18
12,1323,1178,78,70,0,8
12,1417,1143,76,56,0,20
12,1336,1371,92,98,0,-6
12,1403,1212,81,40,0,41
12,1180,1164,69,54,0,15
12,1196,1391,86,40,0,46
12,1346,1306,64,58,0,6
12,1385,1392,89,66,0,23
12,1114,1146,86,83,0,3
12,1102,1419,83,92,0,-9
12,1265,1127,64,60,0,4
12,1119,1247,63,59,0,4
12,1224,1468,63,84,0,-21
12,1443,1290,96,69,0,27
12,1299,1390,46,78,0,-32
13,1187,1423,88,78,0,10
13,1184,1287,71,68,0,3
13,1292,1151,70,80,0,-10
13,1364,1258,69,58,0,11
13,1112,1319,96,53,0,43
13,1350,1459,77,72,0,5
13,1420,1203,92,81,0,11
13,1332,1102,69,52,0,17
13,1216,1193,67,54,0,13
13,1150,1102,78,40,0,38
13,1102,1214,76,64,0,12
13,1316,1102,77,79,0,-2
13,1102,1252,82,77,0,5
13,1157,1300,78,71,0,7
14,1274,1345,58,54,0,4
14,1242,1166,73,72,0,1
14,1428,1226,75,59,0,16
14,1397,1160,56,47,0,9
14,1173,1297,66,60,0,6
14,1278,1130,85,80,0,5
14,1102,1123,70,79,0,-9
14,1208,1285,63,50,0,13
14,1385,1351,82,79,0,3
14,1178,1245,66,80,0,-14
14,1125,1398,79,64,0,15
14,1323,1326,85,90,0,-5
14,1234,1314,93,80,0,13
14,1329,1331,83,78,0,5
14,1293,1122,87,57,0,30
14,1439,1336,55,75,0,-20
14,1266,1453,82,68,0,14
14,1353,1393,79,69,0,10
14,1181,1228,68,83,0,-15
14,1388,1431,73,61,0,12
14,1425,1414,91,56,0,35
14,1233,1288,72,83,0,-11
14,1420,1174,76,61,0,15
14,1378,1391,73,62,0,11
14,1371,1447,78,45,0,33
14,1255,1102,77,60,0,17
14,1102,1102,87,94,0,-7
14,1383,1136,82,101,0,-19
14,1291,1384,75,57,0,18
14,1239,1144,78,80,0,-2
14,1207,1164,80,48,0,32
14,1387,1146,88,65,0,23
14,1272,1102,94,57,0,37
14,1102,1238,82,59,0,23
15,1260,1102,88,51,0,37
15,1458,1348,73,62,0,11
15,1155,1268,67,51,0,16
15,1395,1344,70,79,0,-9
15,1153,1202,78,73,0,5
15,1275,1442,67,57,0,10
15,1350,1320,78,68,0,10
15,1102,1267,72,84,0,-12
15,1112,1167,85,60,0,25
15,1191,1183,68,65,0,3
15,1434,1188,80,58,0,22
15,1304,1210,64,75,0,-11
15,1400,1402,74,53,0,21
15,1408,1379,58,38,0,20
15,1462,1328,99,77,0,22
15,1430,1381,71,81,0,-10
15,1417,1360,83,56,0,27
15,1461,1176,83,61,0,22
15,1337,1143,74,62,0,12
15,1140,1129,70,74,0,-4
15,1450,1225,61,58,0,3
15,1142,1365,69,76,0,-7
15,1199,1231,69,67,0,2
15,1321,1338,70,71,0,-1
15,1449,1370,73,41,0,32
15,1276,1405,91,71,0,20
15,1144,1309,79,70,0,9
15,1383,1136,93,91,0,2
15,1102,1102,79,71,0,8
15,1403,1101,51,44,0,7
15,1433,1102,95,59,0,36
15,1220,1392,72,67,0,5
15,1468,1151,68,77,0,-9
15,1419,1249,60,63,0,-3
15,1117,1115,74,75,0,-1
15,1256,1368,78,69,0,9
15,1281,1251,69,60,0,9
15,1252,1102,80,74,0,6
15,1332,1102,87,66,0,21
15,1124,1372,83,52,0,31
16,1102,1315,71,75,0,-4
16,1333,1339,86,87,0,-1
16,1278,1282,90,61,0,29
16,1319,1415,50,74,0,-24
16,1362,1253,107,62,0,45
16,1355,1295,77,75,0,2
16,1113,1361,68,80,0,-12
16,1239,1309,77,70,0,7
16,1187,1316,73,67,0,6
16,1466,1407,57,62,0,-5
16,1164,1422,85,80,0,5
16,1279,1238,80,45,0,35
16,1102,1410,64,68,0,-4
16,1443,1205,86,84,0,2
17,1269,1318,94,79,0,15
17,1371,1385,77,68,0,9
17,1150,1102,57,61,0,-4
17,1264,1351,64,82,0,-18
17,1315,1355,62,74,0,-12
17,1207,1437,63,76,0,-13
17,1242,1303,95,50,0,45
17,1193,1233,42,70,0,-28
17,1172,1204,77,45,0,32
17,1145,1265,81,72,0,9
17,1166,1304,98,74,0,24
17,1174,1203,68,65,0,3
17,1102,1293,70,66,0,4
17,1389,1310,70,54,0,16
17,1243,1454,76,75,0,1
17,1234,1235,105,77,0,28
17,1213,1305,87,77,0,10
17,1295,1102,74,67,0,7
17,1417,1266,69,60,0,9
17,1388,1363,96,61,0,35
17,1452,1317,62,50,0,12
17,1102,1102,90,63,0,27
18,1199,1196,83,71,0,12
18,1405,1282,64,57,0,7
18,1246,1323,63,64,0,-1
18,1102,1173,82,85,0,-3
18,1237,1398,69,66,0,3
18,1397,1153,65,56,0,9
18,1130,1393,63,101,0,-38
18,1180,1247,48,58,0,-10
18,1395,1102,73,55,0,18
18,1444,1178,57,67,0,-10
18,1378,1459,58,56,0,2
18,1379,1375,75,76,0,-1
18,1455,1329,64,67,0,-3
18,1176,1469,70,73,0,-3
18,1167,1225,76,66,0,10
18,1430,1461,88,93,0,-5
18,1102,1412,61,65,0,-4
18,1141,1434,84,79,0,5
18,1272,1120,71,74,0,-3
18,1433,1330,77,54,0,23
18,1183,1442,92,88,0,4
18,1258,1364,81,76,0,5
18,1279,1423,78,58,0,20
18,1140,1428,82,64,0,18
18,1112,1431,69,61,0,8
18,1264,1351,87,77,0,10
18,1295,1315,53,52,0,1
18,1193,1233,67,52,0,15
18,1145,1265,52,56,0,-4
18,1123,1229,82,66,0,16
18,1418,1256,61,56,0,5
18,1208,1359,79,75,0,4
18,1155,1104,64,56,0,8
18,1345,1232,80,68,0,12
18,1449,1332,71,74,0,-3
18,1389,1310,53,49,0,4
18,1281,1228,81,78,0,3
18,1337,1169,84,89,0,-5
18,1355,1102,78,91,0,-13
18,1274,1195,62,66,0,-4
18,1136,1392,81,72,0,9
18,1403,1102,77,57,0,20
18,1408,1115,67,56,0,11
18,1314,1102,73,67,0,6
18,1421,1219,80,67,0,13
18,1338,1205,67,50,0,17
18,1367,1457,77,95,0,-18
18,1102,1441,98,104,0,-6
18,1419,1372,66,55,0,11
18,1328,1102,85,54,0,31
18,1316,1198,80,77,0,3
18,1116,1146,100,75,0,25
18,1252,1125,71,81,0,-10
19,1277,1324,109,91,0,18
19,1132,1460,67,85,0,-18
19,1443,1348,68,65,0,3
19,1318,1269,78,75,0,3
19,1452,1350,87,71,0,16
19,1267,1325,81,67,0,14
19,1245,1297,92,73,0,19
19,1234,1102,106,53,0,53
19,1276,1336,62,58,0,4
19,1444,1454,63,71,0,-8
19,1179,1102,81,53,0,28
19,1227,1260,66,77,0,-11
19,1143,1362,72,70,0,2
19,1349,1307,61,72,0,-11
19,1326,1156,67,61,0,6
19,1142,1363,75,71,0,4
19,1129,1451,70,59,0,11
19,1213,1113,70,71,0,-1
19,1450,1340,69,60,0,9
19,1399,1102,67,73,0,-6
19,1204,1273,75,77,0,-2
19,1207,1385,97,94,0,3
19,1231,1466,87,52,0,35
19,1440,1214,79,64,0,15
19,1367,1457,77,107,0,-30
19,1102,1239,58,60,0,-2
19,1422,1102,64,47,0,17
19,1435,1102,84,41,0,43
19,1164,1420,49,66,0,-17
19,1127,1464,65,79,0,-14
20,1268,1353,60,74,0,-14
20,1287,1184,75,62,0,13
20,1161,1319,91,52,0,39
20,1360,1305,72,79,0,-7
20,1160,1294,81,45,0,36
20,1166,1266,84,89,0,-5
20,1102,1456,84,85,0,-1
20,1261,1358,88,66,0,22
20,1347,1255,67,66,0,1
20,1279,1146,68,54,0,14
21,1103,1382,74,81,0,-7
21,1229,1152,91,62,0,29
21,1169,1390,71,82,0,-11
21,1275,1138,62,90,0,-28
21,1459,1157,88,77,0,11
21,1439,1155,66,60,0,6
21,1172,1150,52,63,0,-11
21,1228,1278,92,65,0,27
21,1409,1455,65,69,0,-4
21,1433,1441,93,68,0,25
21,1397,1111,79,38,0,41
21,1102,1430,75,67,0,8
21,1191,1369,66,63,0,3
21,1284,1220,88,96,0,-8
21,1387,1232,78,59,0,19
21,1199,1210,74,61,0,13
21,1104,1202,83,80,0,3
21,1235,1243,65,74,0,-9
21,1388,1186,80,75,0,5
21,1458,1260,77,63,0,14
21,1349,1223,90,79,0,11
21,1347,1255,62,53,0,9
21,1120,1411,80,63,0,17
21,1148,1383,86,91,0,-5
21,1401,1368,69,52,0,17
21,1251,1354,82,52,0,30
21,1422,1367,65,57,0,8
21,1391,1194,78,69,0,9
21,1102,1102,73,63,0,10
21,1256,1238,85,58,0,27
21,1402,1394,51,46,0,5
21,1249,1379,63,66,0,-3
21,1317,1115,81,56,0,25
21,1122,1197,70,76,0,-6
21,1190,1205,65,60,0,5
22,1435,1350,67,78,0,-11
22,1247,1269,66,85,0,-19
22,1333,1102,73,61,0,12
22,1160,1303,91,49,0,42
22,1267,1405,87,96,0,-9
22,1274,1338,55,70,0,-15
22,1142,1360,61,70,0,-9
22,1209,1273,88,81,0,7
22,1345,1326,67,60,0,7
22,1153,1378,71,74,0,-3
22,1408,1102,74,80,0,-6
22,1437,1139,85,66,0,19
22,1407,1359,79,71,0,8
22,1292,1279,51,70,0,-19
22,1102,1294,75,83,0,-8
22,1328,1331,79,65,0,14
22,1374,1187,70,55,0,15
22,1240,1399,74,50,0,24
22,1323,1181,65,75,0,-10
22,1329,1395,76,77,0,-1
22,1113,1431,63,76,0,-13
22,1102,1285,58,66,0,-8
22,1393,1318,62,56,0,6
22,1189,1144,66,56,0,10
22,1148,1383,78,59,0,19
22,1214,1456,58,75,0,-17
22,1357,1254,55,75,0,-20
22,1102,1212,61,78,0,-17
22,1151,1421,69,66,0,3
22,1195,1198,69,85,0,-16
22,1125,1244,64,53,0,11
22,1412,1380,88,46,0,42
22,1400,1358,79,63,0,16
22,1280,1146,81,65,0,16
22,1136,1447,74,62,0,12
23,1356,1315,85,64,0,21
23,1385,1166,76,94,0,-18
23,1180,1386,81,77,0,4
23,1403,1242,57,58,0,-1
23,1461,1303,82,78,0,4
23,1266,1371,63,70,0,-7
23,1381,1469,85,78,0,7
23,1258,1414,51,48,0,3
23,1332,1362,74,64,0,10
23,1387,1301,80,69,0,11
23,1357,1254,87,72,0,15
23,1136,1447,81,75,0,6
23,1157,1175,99,73,0,26
23,1133,1238,83,60,0,23
23,1317,1223,85,55,0,30
24,1444,1141,76,61,0,15
24,1356,1315,62,50,0,12
24,1310,1193,68,51,0,17
24,1361,1140,62,72,0,-10
24,1284,1389,78,76,0,2
24,1287,1188,65,69,0,-4
24,1377,1179,57,75,0,-18
24,1348,1172,58,67,0,-9
24,1398,1125,63,88,0,-25
24,1351,1233,56,70,0,-14
24,1296,1152,64,54,0,10
24,1158,1441,70,76,0,-6
24,1397,1399,103,49,0,54
24,1369,1404,67,69,0,-2
24,1450,1286,82,54,0,28
24,1102,1102,79,41,0,38
24,1452,1235,70,65,0,5
24,1429,1294,63,50,0,13
24,1305,1102,74,57,0,17
24,1340,1451,66,94,0,-28
24,1350,1260,75,73,0,2
24,1205,1440,88,77,0,11
24,1313,1423,72,80,0,-8
24,1224,1214,81,76,0,5
24,1342,1354,62,56,0,6
24,1409,1322,82,55,0,27
24,1210,1197,74,64,0,10
24,1352,1132,65,85,0,-20
25,1139,1102,60,68,0,-8
25,1234,1211,88,99,0,-11
25,1458,1257,85,48,0,37
25,1189,1422,64,71,0,-7
25,1232,1123,67,57,0,10
25,1319,1186,64,80,0,-16
25,1102,1460,70,93,0,-23
25,1405,1434,71,57,0,14
25,1297,1464,79,64,0,15
25,1187,1241,73,64,0,9
25,1453,1454,65,68,0,-3
25,1382,1220,77,69,0,8
25,1264,1265,39,61,0,-22
25,1104,1443,71,73,0,-2
25,1246,1314,63,75,0,-12
25,1120,1407,77,41,0,36
25,1102,1402,68,70,0,-2
25,1173,1279,65,62,0,3
25,1323,1345,78,88,0,-10
25,1412,1151,66,69,0,-3
25,1379,1102,60,47,0,13
25,1332,1102,80,41,0,39
25,1243,1124,69,100,0,-31
25,1310,1193,81,61,0,20
25,1326,1417,77,70,0,7
25,1247,1174,71,61,0,10
25,1284,1389,76,78,0,-2
25,1143,1169,87,56,0,31
25,1393,1138,107,96,0,11
25,1337,1102,63,75,0,-12
25,1351,1233,64,72,0,-8
25,1227,1324,74,72,0,2
25,1198,1204,99,103,0,-4
25,1388,1161,53,33,0,20
25,1133,1275,69,68,0,1
25,1208,1153,83,68,0,15
25,1390,1112,78,75,0,3
25,1199,1416,74,86,0,-12
25,1437,1386,88,68,0,20
25,1258,1142,76,52,0,24
25,1236,1156,61,63,0,-2
25,1414,1360,85,53,0,32
25,1255,1154,89,91,0,-2
25,1127,1392,59,73,0,-14
25,1256,1249,86,57,0,29
25,1192,1180,68,85,0,-17
25,1216,1263,63,60,0,3
25,1408,1212,77,65,0,12
25,1456,1219,49,71,0,-22
25,1358,1349,82,69,0,13
25,1105,1375,93,90,0,3
25,1274,1239,73,64,0,9
25,1107,1420,64,65,0,-1
25,1301,1144,69,50,0,19
25,1457,1202,87,71,0,16
25,1150,1102,76,72,0,4
25,1244,1359,63,65,0,-2
25,1396,1312,72,60,0,12
25,1328,1223,84,65,0,19
25,1439,1164,97,57,0,40
25,1435,1347,59,50,0,9
25,1283,1322,94,67,0,27
25,1102,1270,75,65,0,10
26,1163,1166,74,76,0,-2
26,1353,1228,91,88,0,3
26,1102,1460,72,85,0,-13
26,1400,1329,77,74,0,3
26,1116,1331,87,76,0,11
26,1462,1266,91,88,0,3
26,1264,1265,67,72,0,-5
26,1453,1454,62,74,0,-12
26,1297,1464,60,70,0,-10
26,1179,1152,111,67,0,44
26,1340,1451,74,72,0,2
26,1371,1344,77,80,0,-3
26,1227,1324,90,73,0,17
26,1305,1102,66,68,0,-2
26,1404,1442,63,81,0,-18
26,1385,1207,94,83,0,11
26,1321,1277,79,65,0,14
26,1213,1362,65,68,0,-3
26,1278,1387,90,82,0,8
26,1102,1160,69,92,0,-23
26,1236,1156,80,89,0,-9
26,1267,1352,85,71,0,14
26,1330,1318,66,62,0,4
26,1235,1238,60,45,0,15
26,1216,1263,65,50,0,15
