"TeamID","TeamName","FirstD1Season","LastD1Season","bartorvik","scores"
1250,"Lehigh",1985,2021,"Lehigh","Lehigh"
1251,"Liberty",1989,2021,"Liberty","Liberty"
1252,"Lipscomb",2003,2021,"Lipscomb","Lipscomb"
1254,"LIU Brooklyn",1985,2021,"LIU Brooklyn","StonyBrook"
1255,"Longwood",2005,2021,"Longwood","Longwood"
1256,"Louisiana Tech",1985,2021,"Louisiana Tech","LouisianaTech"
1257,"Louisville",1985,2021,"Louisville","Louisville"
1259,"Loyola MD",1985,2021,"Loyola MD","Colorado"
1261,"LSU",1985,2021,"LSU","LSU"
1263,"Maine",1985,2021,"Maine","Maine"
1264,"Manhattan",1985,2021,"Manhattan","Manhattan"
1265,"Marist",1985,2021,"Marist","Marist"
1266,"Marquette",1985,2021,"Marquette","Marquette"
1267,"Marshall",1985,2021,"Marshall","Marshall"
1268,"Maryland",1985,2021,"Maryland","Maryland"
1269,"Massachusetts",1985,2021,"Massachusetts","Massachusetts"
1272,"Memphis",1985,2021,"Memphis","Memphis"
1273,"Mercer",1985,2021,"Mercer","Mercer"
1274,"Miami FL",1986,2021,"Miami FL","MiamiOhio"
1275,"Miami OH",1985,2021,"Miami OH","MiamiOhio"
1276,"Michigan",1985,2021,"Michigan","Michigan"
1278,"Minnesota",1985,2021,"Minnesota","Minnesota"
1279,"Mississippi",1985,2021,"Mississippi","Mississippi"
1281,"Missouri",1985,2021,"Missouri","Missouri"
1285,"Montana",1985,2021,"Montana","Montana"
1298,"Navy",1985,2021,"Navy","Navy"
1304,"Nebraska",1985,2021,"Nebraska","Nebraska"
1305,"Nevada",1985,2021,"Nevada","Nevada"
1306,"New Hampshire",1985,2021,"New Hampshire","NewHampshire"
1307,"New Mexico",1985,2021,"New Mexico","NewMexico"
1309,"New Orleans",1985,2021,"New Orleans","NewOrleans"
1310,"Niagara",1985,2021,"Niagara","Niagara"
1312,"NJIT",2007,2021,"NJIT","NJIT"
1314,"North Carolina",1985,2021,"North Carolina","NorthCarolina"
1315,"North Dakota",2009,2021,"North Dakota","NorthDakota"
1316,"North Florida",2006,2021,"North Florida","NorthFlorida"
1317,"North Texas",1985,2021,"North Texas","NorthTexas"
1318,"Northeastern",1985,2021,"Northeastern","Northeastern"
1319,"Northern Arizona",1985,2021,"Northern Arizona","NorthernArizona"
1320,"Northern Iowa",1985,2021,"Northern Iowa","NorthernIowa"
1321,"Northwestern",1985,2021,"Northwestern","Northwestern"
1323,"Notre Dame",1985,2021,"Notre Dame","NotreDame"
1324,"Oakland",2000,2021,"Oakland","Oakland"
1325,"Ohio",1985,2021,"Ohio","Ohio"
1328,"Oklahoma",1985,2021,"Oklahoma","Oklahoma"
1330,"Old Dominion",1985,2021,"Old Dominion","OldDominion"
1331,"Oral Roberts",1985,2021,"Oral Roberts","OralRoberts"
1332,"Oregon",1985,2021,"Oregon","Oregon"
1334,"Pacific",1985,2021,"Pacific","Pacific"
1337,"Pepperdine",1985,2021,"Pepperdine","Pepperdine"
1338,"Pittsburgh",1985,2021,"Pittsburgh","Pittsburgh"
1339,"Portland",1985,2021,"Portland","Portland"
1342,"Presbyterian",2008,2021,"Presbyterian","Presbyterian"
1344,"Providence",1985,2021,"Providence","Providence"
1345,"Purdue",1985,2021,"Purdue","Purdue"
1346,"Quinnipiac",1999,2021,"Quinnipiac","Quinnipiac"
1347,"Radford",1985,2021,"Radford","Radford"
1348,"Rhode Island",1985,2021,"Rhode Island","RhodeIsland"
1349,"Rice",1985,2021,"Rice","Rice"
1350,"Richmond",1985,2021,"Richmond","Richmond"
1351,"Rider",1985,2021,"Rider","Rider"
1352,"Robert Morris",1985,2021,"Robert Morris","RobertMorris"
1353,"Rutgers",1985,2021,"Rutgers","Rutgers"
1357,"Sacred Heart",2000,2021,"Sacred Heart","SacredHeart"
1359,"Samford",1985,2021,"Samford","Samford"
1360,"San Diego",1985,2021,"San Diego","SanDiego"
1362,"San Francisco",1986,2021,"San Francisco","SanFrancisco"
1364,"UC Santa Barbara",1985,2021,"UC Santa Barbara","CalSantaBarbara"
1365,"Santa Clara",1985,2021,"Santa Clara","SantaClara"
1370,"Seattle",2009,2021,"Seattle","SeattleU"
1371,"Seton Hall",1985,2021,"Seton Hall","SetonHall"
1373,"Siena",1985,2021,"Siena","Siena"
1374,"SMU",1985,2021,"SMU","SMU"
1375,"South Alabama",1985,2021,"South Alabama","SouthAlabama"
1376,"South Carolina",1985,2021,"South Carolina","SouthCarolina"
1377,"South Dakota",2009,2021,"South Dakota","SouthDakota"
1378,"South Florida",1985,2021,"South Florida","SouthFlorida"
1379,"Southern Miss",1985,2021,"Southern Miss","SouthernMiss"
1381,"Southern Utah",1989,2021,"Southern Utah","SouthernUtah"
1390,"Stanford",1985,2021,"Stanford","Stanford"
1391,"Stetson",1985,2021,"Stetson","Stetson"
1392,"Stony Brook",2000,2021,"Stony Brook","StonyBrook"
1393,"Syracuse",1985,2021,"Syracuse","Syracuse"
1395,"TCU",1985,2021,"TCU","TCU"
1396,"Temple",1985,2021,"Temple","Temple"
1397,"Tennessee",1985,2021,"Tennessee","Tennessee"
1399,"Tennessee Tech",1985,2021,"Tennessee Tech","TennesseeTech"
1400,"Texas",1985,2021,"Texas","Texas"
1401,"Texas A&M",1985,2021,"Texas A&M","TexasA&M"
1403,"Texas Tech",1985,2021,"Texas Tech","TexasTech"
1405,"Toledo",1985,2021,"Toledo","Toledo"
1406,"Towson",1985,2021,"Towson","Towson"
1407,"Troy",1994,2021,"Troy","Troy"
1408,"Tulane",1985,2021,"Tulane","Tulane"
1409,"Tulsa",1985,2021,"Tulsa","Tulsa"
1412,"UAB",1985,2021,"UAB","UAB"
1413,"UC Davis",2005,2021,"UC Davis","UCDavis"
1414,"UC Irvine",1985,2021,"UC Irvine","CalIrvine"
1415,"UC Riverside",2002,2021,"UC Riverside","CalRiverside"
1416,"UCF",1985,2021,"UCF","UCLA"
1417,"UCLA",1985,2021,"UCLA","UCLA"
1420,"UMBC",1987,2021,"UMBC","UMKC"
1421,"UNC Asheville",1987,2021,"UNC Asheville","NCAsheville"
1422,"UNC Greensboro",1992,2021,"UNC Greensboro","NCGreensboro"
1423,"UNC Wilmington",1985,2021,"UNC Wilmington","NCWilmington"
1424,"UNLV",1985,2021,"UNLV","UNLV"
1425,"USC",1985,2021,"USC","USC"
1426,"UT Arlington",1985,2021,"UT Arlington","UTArlington"
1428,"Utah",1985,2021,"Utah","Utah"
1430,"Utah Valley",2005,2021,"Utah Valley","UtahValley"
1431,"UTEP",1985,2021,"UTEP","UTEP"
1433,"VCU",1985,2021,"VCU","TCU"
1434,"Valparaiso",1985,2021,"Valparaiso","Valparaiso"
1435,"Vanderbilt",1985,2021,"Vanderbilt","Vanderbilt"
1436,"Vermont",1985,2021,"Vermont","Vermont"
1437,"Villanova",1985,2021,"Villanova","Villanova"
1438,"Virginia",1985,2021,"Virginia","Virginia"
1439,"Virginia Tech",1985,2021,"Virginia Tech","VirginiaTech"
1440,"VMI",1985,2021,"VMI","VMI"
1447,"Wagner",1985,2021,"Wagner","Wagner"
1448,"Wake Forest",1985,2021,"Wake Forest","WakeForest"
1449,"Washington",1985,2021,"Washington","Washington"
1452,"West Virginia",1985,2021,"West Virginia","WestVirginia"
1456,"William & Mary",1985,2021,"William & Mary","William&Mary"
1457,"Winthrop",1987,2021,"Winthrop","Winthrop"
1458,"Wisconsin",1985,2021,"Wisconsin","Wisconsin"
1459,"Wofford",1996,2021,"Wofford","Wofford"
1461,"Wyoming",1985,2021,"Wyoming","Wyoming"
1462,"Xavier",1985,2021,"Xavier","Xavier"
1465,"Cal Baptist",2019,2021,"Cal Baptist","Valparaiso"
1466,"North Alabama",2019,2021,"North Alabama","NorthAlabama"
1467,"Merrimack",2020,2021,"Merrimack","Merrimack"
1468,"Bellarmine",2021,2021,"Bellarmine","Bellarmine"
1471,"UC San Diego",2021,2021,"UC San Diego","UCSanDiego"
1101,"Abilene Chr",2014,2021,"Abilene Christian","AbileneChristian"
1106,"Alabama St",1985,2021,"Alabama St.","Alabama"
1107,"SUNY Albany",2000,2021,"Albany","SouthAlabama"
1108,"Alcorn St",1985,2021,"Alcorn St.","AlcornState"
1110,"American Univ",1985,2021,"American","American"
1111,"Appalachian St",1985,2021,"Appalachian St.","AppalachianSt"
1113,"Arizona St",1985,2021,"Arizona St.","Arizona"
1114,"Ark Little Rock",1985,2021,"Little Rock","ArkansasLittleRock"
1115,"Ark Pine Bluff",1999,2021,"Arkansas Pine Bluff","ArkPineBluff"
1117,"Arkansas St",1985,2021,"Arkansas St.","Arkansas"
1123,"Ball St",1985,2021,"Ball St.","BallState"
1129,"Boise St",1985,2021,"Boise St.","BoiseState"
1131,"Boston Univ",1985,2021,"Boston University","BostonU"
1141,"C Michigan",1985,2021,"Central Michigan","Michigan"
1148,"Central Conn",1987,2021,"Central Connecticut","CentralConn"
1149,"Charleston So",1985,2021,"Charleston Southern","CharlestonSou"
1152,"Chicago St",1985,2021,"Chicago St.","ChicagoSt"
1154,"Citadel",1985,2021,"The Citadel","TheCitadel"
1156,"Cleveland St",1985,2021,"Cleveland St.","ClevelandState"
1157,"Coastal Car",1987,2021,"Coastal Carolina","CoastalCarolina"
1158,"Col Charleston",1992,2021,"College of Charleston","CollCharleston"
1161,"Colorado St",1985,2021,"Colorado St.","Colorado"
1164,"Coppin St",1986,2021,"Coppin St.","CoppinState"
1167,"CS Bakersfield",2008,2021,"Cal St. Bakersfield","CSBakersfield"
1168,"CS Fullerton",1985,2021,"Cal St. Fullerton","CSFullerton"
1169,"CS Northridge",1991,2021,"Cal St. Northridge","CSNorthridge"
1170,"CS Sacramento",1992,2021,"Sacramento St.","SacramentoState"
1175,"Delaware St",1985,2021,"Delaware St.","Delaware"
1183,"E Illinois",1985,2021,"Eastern Illinois","Illinois"
1184,"E Kentucky",1985,2021,"Eastern Kentucky","Kentucky"
1185,"E Michigan",1985,2021,"Eastern Michigan","Michigan"
1186,"E Washington",1985,2021,"Eastern Washington","E.Washington"
1188,"SIUE",2009,2021,"Southern Illinois","SMU"
1190,"ETSU",1985,2021,"East Tennessee St.","TCU"
1192,"F Dickinson",1985,2021,"Fairleigh Dickinson","FairDickinson"
1194,"FL Atlantic",1994,2021,"Florida Atlantic","FlaAtlantic"
1195,"FL Gulf Coast",2008,2021,"Florida Gulf Coast","FlaGulfCoast"
1199,"Florida St",1985,2021,"Florida St.","FloridaAM"
1201,"Fresno St",1985,2021,"Fresno St.","FresnoState"
1203,"G Washington",1985,2021,"George Washington","Washington"
1204,"Ga Southern",1985,2021,"Georgia Southern","Southern"
1209,"Georgia St",1985,2021,"Georgia St.","Georgia"
1212,"Grambling",1985,2021,"Grambling St.","Grambling"
1223,"Houston Bap",1985,2021,"Houston Baptist","Houston"
1226,"Idaho St",1985,2021,"Idaho St.","Idaho"
1227,"IL Chicago",1985,2021,"Illinois Chicago","ChicagoSt"
1229,"Illinois St",1985,2021,"Illinois St.","Illinois"
1232,"Indiana St",1985,2021,"Indiana St.","Indiana"
1235,"Iowa St",1985,2021,"Iowa St.","Iowa"
1238,"Jackson St",1985,2021,"Jackson St.","JacksonState"
1240,"Jacksonville St",1996,2021,"Jacksonville St.","JacksonvilleSt"
1243,"Kansas St",1985,2021,"Kansas St.","Kansas"
1244,"Kennesaw",2006,2021,"Kennesaw St.","KennesawSt"
1245,"Kent",1985,2021,"Kent St.","Iona"
1253,"Long Beach St",1985,2021,"Long Beach St.","LongBeachState"
1258,"Loy Marymount",1985,2021,"Loyola Marymount","LoyolaMarymount"
1260,"Loyola-Chicago",1985,2021,"Loyola Chicago","LoyolaChicago"
1262,"MA Lowell",2014,2021,"UMass Lowell","UMassLowell"
1270,"McNeese St",1985,2021,"McNeese St.","McNeeseState"
1277,"Michigan St",1985,2021,"Michigan St.","Michigan"
1280,"Mississippi St",1985,2021,"Mississippi St.","MississippiSt"
1283,"Missouri St",1985,2021,"Missouri St.","MissouriSt"
1284,"Monmouth NJ",1985,2021,"Monmouth","Monmouth"
1286,"Montana St",1985,2021,"Montana St.","Montana"
1287,"Morehead St",1985,2021,"Morehead St.","MoreheadState"
1288,"Morgan St",1985,2021,"Morgan St.","MorganState"
1290,"MS Valley St",1985,2021,"Mississippi Valley St.","MissValleySt"
1291,"Mt St Mary's",1989,2021,"Mount St. Mary's","Mt.St.Mary's"
1293,"Murray St",1985,2021,"Murray St.","MurrayState"
1294,"N Colorado",2005,2021,"Northern Colorado","Colorado"
1295,"N Dakota St",2006,2021,"North Dakota St.","NorthDakota"
1296,"N Illinois",1985,2021,"Northern Illinois","NoIllinois"
1297,"N Kentucky",2013,2021,"Northern Kentucky","Kentucky"
1299,"NC A&T",1985,2021,"North Carolina A&T","UCLA"
1300,"NC Central",2008,2021,"North Carolina Central","NCCentral"
1301,"NC State",1985,2021,"North Carolina St.","NCState"
1303,"NE Omaha",2012,2021,"Nebraska Omaha","Nevada"
1308,"New Mexico St",1985,2021,"New Mexico St.","NewMexico"
1311,"Nicholls St",1985,2021,"Nicholls St.","NichollsState"
1313,"Norfolk St",1998,2021,"Norfolk St.","NorfolkSt"
1326,"Ohio St",1985,2021,"Ohio St.","Ohio"
1329,"Oklahoma St",1985,2021,"Oklahoma St.","Oklahoma"
1333,"Oregon St",1985,2021,"Oregon St.","Oregon"
1336,"Penn St",1985,2021,"Penn St.","PennState"
1340,"Portland St",1999,2021,"Portland St.","Portland"
1341,"Prairie View",1985,2021,"Prairie View A&M","PrairieViewAM"
1354,"S Carolina St",1985,2021,"South Carolina St.","SoCarolinaSt"
1355,"S Dakota St",2006,2021,"South Dakota St.","SoCarolinaSt"
1356,"S Illinois",1985,2021,"Southern Illinois","SoIllinois"
1358,"Sam Houston St",1987,2021,"Sam Houston St.","SamHoustonSt"
1361,"San Diego St",1985,2021,"San Diego St.","SanDiego"
1363,"San Jose St",1985,2021,"San Jose St.","SanJoseState"
1367,"SC Upstate",2008,2021,"USC Upstate","USCUpstate"
1368,"SE Louisiana",1985,2021,"Southeastern Louisiana","SELouisiana"
1369,"SE Missouri St",1992,2021,"Southeast Missouri St.","SEMissouriSt"
1372,"SF Austin",1987,2021,"Stephen F. Austin","Houston"
1380,"Southern Univ",1985,2021,"Southern","SouthernUtah"
1382,"St Bonaventure",1985,2021,"St. Bonaventure","St.Bonaventure"
1383,"St Francis NY",1985,2021,"St. Francis NY","St.FrancisNY"
1384,"St Francis PA",1985,2021,"St. Francis PA","St.FrancisPA"
1385,"St John's",1985,2021,"St. John's","St.Johns"
1386,"St Joseph's PA",1985,2021,"Saint Joseph's","St.Josephs"
1387,"St Louis",1985,2021,"Saint Louis","St.Johns"
1388,"St Mary's CA",1985,2021,"Saint Mary's","SaintMarysCA"
1389,"St Peter's",1985,2021,"Saint Peter's","St.Peter's"
1398,"Tennessee St",1985,2021,"Tennessee St.","ETennesseeSt"
1402,"Texas St",1985,2021,"Texas St.","Texas"
1404,"TN Martin",1993,2021,"Tennessee Martin","TennMartin"
1411,"TX Southern",1985,2021,"Texas Southern","Southern"
1418,"Louisiana",1985,2021,"Louisiana Lafayette","SELouisiana"
1419,"ULM",1985,2021,"Louisiana Monroe","UCLA"
1427,"UT San Antonio",1985,2021,"UTSA","TexSanAntonio"
1429,"Utah St",1985,2021,"Utah St.","Utah"
1441,"W Carolina",1985,2021,"Western Carolina","N.CarolinaAT"
1442,"W Illinois",1985,2021,"Western Illinois","Illinois"
1443,"WKU",1985,2021,"Western Kentucky","TCU"
1444,"W Michigan",1985,2021,"Western Michigan","Michigan"
1450,"Washington St",1985,2021,"Washington St.","Washington"
1451,"Weber St",1985,2021,"Weber St.","WeberState"
1453,"WI Green Bay",1985,2021,"Green Bay","WiscGreenBay"
1454,"WI Milwaukee",1991,2021,"Milwaukee","WiscMilwaukee"
1455,"Wichita St",1985,2021,"Wichita St.","WichitaState"
1460,"Wright St",1988,2021,"Wright St.","WrightState"
1464,"Youngstown St",1985,2021,"Youngstown St.","YoungstownState"
1469,"Dixie St",2021,2021,"Dixie St.","DixieState"
1470,"Tarleton St",2021,2021,"Tarleton St.","TarletonSt"
