"TeamID","TeamName","FirstD1Season","LastD1Season","bartorvik"
1186,"E Washington",1985,2021,"Eastern Washington"
1187,"East Carolina",1985,2021,"East Carolina"
1188,"SIUE",2009,2021,"SIU Edwardsville"
1189,"Elon",2000,2021,"Elon"
1190,"ETSU",1985,2021,"East Tennessee St."
1191,"Evansville",1985,2021,"Evansville"
1192,"F Dickinson",1985,2021,"Fairleigh Dickinson"
1193,"Fairfield",1985,2021,"Fairfield"
1194,"FL Atlantic",1994,2021,"Florida Atlantic"
1195,"FL Gulf Coast",2008,2021,"Florida Gulf Coast"
1196,"Florida",1985,2021,"Florida"
1197,"Florida A&M",1985,2021,"Florida A&M"
1198,"Florida Intl",1988,2021,"FIU"
1199,"Florida St",1985,2021,"Florida St."
1200,"Fordham",1985,2021,"Fordham"
1201,"Fresno St",1985,2021,"Fresno St."
1202,"Furman",1985,2021,"Furman"
1203,"G Washington",1985,2021,"George Washington"
1204,"Ga Southern",1985,2021,"Georgia Southern"
1205,"Gardner Webb",2003,2021,"Gardner Webb"
1206,"George Mason",1985,2021,"George Mason"
1207,"Georgetown",1985,2021,"Georgetown"
1208,"Georgia",1985,2021,"Georgia"
1209,"Georgia St",1985,2021,"Georgia St."
1210,"Georgia Tech",1985,2021,"Georgia Tech"
1211,"Gonzaga",1985,2021,"Gonzaga"
1212,"Grambling",1985,2021,"Grambling St."
1213,"Grand Canyon",2014,2021,"Grand Canyon"
1214,"Hampton",1996,2021,"Hampton"
1216,"Hartford",1985,2021,"Hartford"
1218,"Hawaii",1985,2021,"Hawaii"
1219,"High Point",2000,2021,"High Point"
1220,"Hofstra",1985,2021,"Hofstra"
1221,"Holy Cross",1985,2021,"Holy Cross"
1222,"Houston",1985,2021,"Houston"
1223,"Houston Bap",1985,2021,"Houston Baptist"
1224,"Howard",1985,2021,"Howard"
1225,"Idaho",1985,2021,"Idaho"
1226,"Idaho St",1985,2021,"Idaho St."
1227,"IL Chicago",1985,2021,"Illinois Chicago"
1228,"Illinois",1985,2021,"Illinois"
1229,"Illinois St",1985,2021,"Illinois St."
1230,"Incarnate Word",2014,2021,"Incarnate Word"
1231,"Indiana",1985,2021,"Indiana"
1232,"Indiana St",1985,2021,"Indiana St."
1233,"Iona",1985,2021,"Iona"
1234,"Iowa",1985,2021,"Iowa"
1235,"Iowa St",1985,2021,"Iowa St."
1236,"PFW",2003,2021,"Fort Wayne"
1237,"IUPUI",1999,2021,"IUPUI"
1238,"Jackson St",1985,2021,"Jackson St."
1239,"Jacksonville",1985,2021,"Jacksonville"
1240,"Jacksonville St",1996,2021,"Jacksonville St."
1241,"James Madison",1985,2021,"James Madison"
1242,"Kansas",1985,2021,"Kansas"
1243,"Kansas St",1985,2021,"Kansas St."
1244,"Kennesaw",2006,2021,"Kennesaw St."
1245,"Kent",1985,2021,"Kent St."
1246,"Kentucky",1985,2021,"Kentucky"
1247,"La Salle",1985,2021,"La Salle"
1248,"Lafayette",1985,2021,"Lafayette"
1249,"Lamar",1985,2021,"Lamar"
1250,"Lehigh",1985,2021,"Lehigh"
1251,"Liberty",1989,2021,"Liberty"
1252,"Lipscomb",2003,2021,"Lipscomb"
1253,"Long Beach St",1985,2021,"Long Beach St."
1254,"LIU Brooklyn",1985,2021,"LIU Brooklyn"
1255,"Longwood",2005,2021,"Longwood"
1256,"Louisiana Tech",1985,2021,"Louisiana Tech"
1257,"Louisville",1985,2021,"Louisville"
1258,"Loy Marymount",1985,2021,"Loyola Marymount"
1259,"Loyola MD",1985,2021,"Loyola MD"
1260,"Loyola-Chicago",1985,2021,"Loyola Chicago"
1261,"LSU",1985,2021,"LSU"
1262,"MA Lowell",2014,2021,"UMass Lowell"
1263,"Maine",1985,2021,"Maine"
1264,"Manhattan",1985,2021,"Manhattan"
1265,"Marist",1985,2021,"Marist"
1266,"Marquette",1985,2021,"Marquette"
1267,"Marshall",1985,2021,"Marshall"
1268,"Maryland",1985,2021,"Maryland"
1269,"Massachusetts",1985,2021,"Massachusetts"
1270,"McNeese St",1985,2021,"McNeese St."
1272,"Memphis",1985,2021,"Memphis"
1273,"Mercer",1985,2021,"Mercer"
1274,"Miami FL",1986,2021,"Miami FL"
1275,"Miami OH",1985,2021,"Miami OH"
1276,"Michigan",1985,2021,"Michigan"
1277,"Michigan St",1985,2021,"Michigan St."
1278,"Minnesota",1985,2021,"Minnesota"
1279,"Mississippi",1985,2021,"Mississippi"
1280,"Mississippi St",1985,2021,"Mississippi St."
1281,"Missouri",1985,2021,"Missouri"
1282,"Missouri KC",1990,2021,"UMKC"
1283,"Missouri St",1985,2021,"Missouri St."
1284,"Monmouth NJ",1985,2021,"Monmouth"
1285,"Montana",1985,2021,"Montana"
1286,"Montana St",1985,2021,"Montana St."
1287,"Morehead St",1985,2021,"Morehead St."
1288,"Morgan St",1985,2021,"Morgan St."
1290,"MS Valley St",1985,2021,"Mississippi Valley St."
1291,"Mt St Mary's",1989,2021,"Mount St. Mary's"
1292,"MTSU",1985,2021,"Middle Tennessee"
1293,"Murray St",1985,2021,"Murray St."
1294,"N Colorado",2005,2021,"Northern Colorado"
1295,"N Dakota St",2006,2021,"North Dakota St."
1296,"N Illinois",1985,2021,"Northern Illinois"
1297,"N Kentucky",2013,2021,"Northern Kentucky"
1298,"Navy",1985,2021,"Navy"
1299,"NC A&T",1985,2021,"North Carolina A&T"
1300,"NC Central",2008,2021,"North Carolina Central"
1301,"NC State",1985,2021,"North Carolina St."
1303,"NE Omaha",2012,2021,"Nebraska Omaha"
1304,"Nebraska",1985,2021,"Nebraska"
1305,"Nevada",1985,2021,"Nevada"
1306,"New Hampshire",1985,2021,"New Hampshire"
1307,"New Mexico",1985,2021,"New Mexico"
1308,"New Mexico St",1985,2021,"New Mexico St."
1309,"New Orleans",1985,2021,"New Orleans"
1310,"Niagara",1985,2021,"Niagara"
1311,"Nicholls St",1985,2021,"Nicholls St."
1312,"NJIT",2007,2021,"NJIT"
1313,"Norfolk St",1998,2021,"Norfolk St."
1314,"North Carolina",1985,2021,"North Carolina"
1315,"North Dakota",2009,2021,"North Dakota"
1316,"North Florida",2006,2021,"North Florida"
1317,"North Texas",1985,2021,"North Texas"
1318,"Northeastern",1985,2021,"Northeastern"
1319,"Northern Arizona",1985,2021,"Northern Arizona"
1320,"Northern Iowa",1985,2021,"Northern Iowa"
1321,"Northwestern",1985,2021,"Northwestern"
1322,"Northwestern LA",1985,2021,"Northwestern St."
1323,"Notre Dame",1985,2021,"Notre Dame"
1324,"Oakland",2000,2021,"Oakland"
1325,"Ohio",1985,2021,"Ohio"
1326,"Ohio St",1985,2021,"Ohio St."
1328,"Oklahoma",1985,2021,"Oklahoma"
1329,"Oklahoma St",1985,2021,"Oklahoma St."
1330,"Old Dominion",1985,2021,"Old Dominion"
1331,"Oral Roberts",1985,2021,"Oral Roberts"
1332,"Oregon",1985,2021,"Oregon"
1333,"Oregon St",1985,2021,"Oregon St."
1334,"Pacific",1985,2021,"Pacific"
1336,"Penn St",1985,2021,"Penn St."
1337,"Pepperdine",1985,2021,"Pepperdine"
1338,"Pittsburgh",1985,2021,"Pittsburgh"
1339,"Portland",1985,2021,"Portland"
1340,"Portland St",1999,2021,"Portland St."
1341,"Prairie View",1985,2021,"Prairie View A&M"
1342,"Presbyterian",2008,2021,"Presbyterian"
1344,"Providence",1985,2021,"Providence"
1345,"Purdue",1985,2021,"Purdue"
1346,"Quinnipiac",1999,2021,"Quinnipiac"
1347,"Radford",1985,2021,"Radford"
1348,"Rhode Island",1985,2021,"Rhode Island"
1349,"Rice",1985,2021,"Rice"
1350,"Richmond",1985,2021,"Richmond"
1351,"Rider",1985,2021,"Rider"
1352,"Robert Morris",1985,2021,"Robert Morris"
1353,"Rutgers",1985,2021,"Rutgers"
1354,"S Carolina St",1985,2021,"South Carolina St."
1355,"S Dakota St",2006,2021,"South Dakota St."
1356,"S Illinois",1985,2021,"Southern Illinois"
1357,"Sacred Heart",2000,2021,"Sacred Heart"
1358,"Sam Houston St",1987,2021,"Sam Houston St."
1359,"Samford",1985,2021,"Samford"
1360,"San Diego",1985,2021,"San Diego"
1361,"San Diego St",1985,2021,"San Diego St."
1362,"San Francisco",1986,2021,"San Francisco"
1363,"San Jose St",1985,2021,"San Jose St."
1364,"UC Santa Barbara",1985,2021,"UC Santa Barbara"
1365,"Santa Clara",1985,2021,"Santa Clara"
1367,"SC Upstate",2008,2021,"USC Upstate"
1368,"SE Louisiana",1985,2021,"Southeastern Louisiana"
1369,"SE Missouri St",1992,2021,"Southeast Missouri St."
1370,"Seattle",2009,2021,"Seattle"
1371,"Seton Hall",1985,2021,"Seton Hall"
1372,"SF Austin",1987,2021,"Stephen F. Austin"
1373,"Siena",1985,2021,"Siena"
1374,"SMU",1985,2021,"SMU"
1375,"South Alabama",1985,2021,"South Alabama"
1376,"South Carolina",1985,2021,"South Carolina"
1377,"South Dakota",2009,2021,"South Dakota"
1378,"South Florida",1985,2021,"South Florida"
1379,"Southern Miss",1985,2021,"Southern Miss"
1380,"Southern Univ",1985,2021,"Southern"
1381,"Southern Utah",1989,2021,"Southern Utah"
1382,"St Bonaventure",1985,2021,"St. Bonaventure"
1383,"St Francis NY",1985,2021,"St. Francis NY"
1384,"St Francis PA",1985,2021,"St. Francis PA"
1385,"St John's",1985,2021,"St. John's"
1386,"St Joseph's PA",1985,2021,"Saint Joseph's"
1387,"St Louis",1985,2021,"Saint Louis"
1388,"St Mary's CA",1985,2021,"Saint Mary's"
1389,"St Peter's",1985,2021,"Saint Peter's"
1390,"Stanford",1985,2021,"Stanford"
1391,"Stetson",1985,2021,"Stetson"
1392,"Stony Brook",2000,2021,"Stony Brook"
1393,"Syracuse",1985,2021,"Syracuse"
1394,"TAM C. Christi",2003,2021,"Texas A&M Corpus Chris"
1395,"TCU",1985,2021,"TCU"
1396,"Temple",1985,2021,"Temple"
1397,"Tennessee",1985,2021,"Tennessee"
1398,"Tennessee St",1985,2021,"Tennessee St."
1399,"Tennessee Tech",1985,2021,"Tennessee Tech"
1400,"Texas",1985,2021,"Texas"
1401,"Texas A&M",1985,2021,"Texas A&M"
1402,"Texas St",1985,2021,"Texas St."
1403,"Texas Tech",1985,2021,"Texas Tech"
1404,"TN Martin",1993,2021,"Tennessee Martin"
1405,"Toledo",1985,2021,"Toledo"
1406,"Towson",1985,2021,"Towson"
1407,"Troy",1994,2021,"Troy"
1408,"Tulane",1985,2021,"Tulane"
1409,"Tulsa",1985,2021,"Tulsa"
1410,"UTRGV",1985,2021,"UT Rio Grande Valley"
1411,"TX Southern",1985,2021,"Texas Southern"
1412,"UAB",1985,2021,"UAB"
1413,"UC Davis",2005,2021,"UC Davis"
1414,"UC Irvine",1985,2021,"UC Irvine"
1415,"UC Riverside",2002,2021,"UC Riverside"
1416,"UCF",1985,2021,"UCF"
1417,"UCLA",1985,2021,"UCLA"
1418,"Louisiana",1985,2021,"Louisiana Lafayette"
1419,"ULM",1985,2021,"Louisiana Monroe"
1420,"UMBC",1987,2021,"UMBC"
1421,"UNC Asheville",1987,2021,"UNC Asheville"
1422,"UNC Greensboro",1992,2021,"UNC Greensboro"
1423,"UNC Wilmington",1985,2021,"UNC Wilmington"
1424,"UNLV",1985,2021,"UNLV"
1425,"USC",1985,2021,"USC"
1426,"UT Arlington",1985,2021,"UT Arlington"
1427,"UT San Antonio",1985,2021,"UTSA"
1428,"Utah",1985,2021,"Utah"
1429,"Utah St",1985,2021,"Utah St."
1430,"Utah Valley",2005,2021,"Utah Valley"
1431,"UTEP",1985,2021,"UTEP"
1433,"VCU",1985,2021,"VCU"
1434,"Valparaiso",1985,2021,"Valparaiso"
1435,"Vanderbilt",1985,2021,"Vanderbilt"
1436,"Vermont",1985,2021,"Vermont"
1437,"Villanova",1985,2021,"Villanova"
1438,"Virginia",1985,2021,"Virginia"
1439,"Virginia Tech",1985,2021,"Virginia Tech"
1440,"VMI",1985,2021,"VMI"
1441,"W Carolina",1985,2021,"Western Carolina"
1442,"W Illinois",1985,2021,"Western Illinois"
1443,"WKU",1985,2021,"Western Kentucky"
1444,"W Michigan",1985,2021,"Western Michigan"
1447,"Wagner",1985,2021,"Wagner"
1448,"Wake Forest",1985,2021,"Wake Forest"
1449,"Washington",1985,2021,"Washington"
1450,"Washington St",1985,2021,"Washington St."
1451,"Weber St",1985,2021,"Weber St."
1452,"West Virginia",1985,2021,"West Virginia"
1453,"WI Green Bay",1985,2021,"Green Bay"
1454,"WI Milwaukee",1991,2021,"Milwaukee"
1455,"Wichita St",1985,2021,"Wichita St."
1456,"William & Mary",1985,2021,"William & Mary"
1457,"Winthrop",1987,2021,"Winthrop"
1458,"Wisconsin",1985,2021,"Wisconsin"
1459,"Wofford",1996,2021,"Wofford"
1460,"Wright St",1988,2021,"Wright St."
1461,"Wyoming",1985,2021,"Wyoming"
1462,"Xavier",1985,2021,"Xavier"
1464,"Youngstown St",1985,2021,"Youngstown St."
1465,"Cal Baptist",2019,2021,"Cal Baptist"
1466,"North Alabama",2019,2021,"North Alabama"
1467,"Merrimack",2020,2021,"Merrimack"
1468,"Bellarmine",2021,2021,"Bellarmine"
1469,"Dixie St",2021,2021,"Dixie St."
1470,"Tarleton St",2021,2021,"Tarleton St."
1471,"UC San Diego",2021,2021,"UC San Diego"
1126,"Bethune-Cookman",1985,2020,"Bethune Cookman"
1135,"Brown",1985,2020,"Brown"
1162,"Columbia",1985,2020,"Columbia"
1165,"Cornell",1985,2020,"Cornell"
1171,"Dartmouth",1985,2020,"Dartmouth"
1217,"Harvard",1985,2020,"Harvard"
1271,"MD E Shore",1985,2020,"Maryland Eastern Shore"
1335,"Penn",1985,2020,"Penn"
1343,"Princeton",1985,2020,"Princeton"
1366,"Savannah St",2003,2019,"Savannah St."
1463,"Yale",1985,2020,"Yale"
